\N	Adak, AK	adak-alaska	486
\N	Akhiok, AK	akhiok-alaska	12899
\N	Akiachak, AK	akiachak-alaska	627
\N	Akiak, AK	akiak-alaska	346
\N	Akutan, AK	akutan-alaska	1027
\N	Alakanuk, AK	alakanuk-alaska	677
\N	Aleknagik, AK	aleknagik-alaska	221
\N	Allakaket, AK	allakaket-alaska	208
\N	Ambler, AK	ambler-alaska	259
\N	Anaktuvuk, AK	anaktuvuk-alaska	324
\N	Anaktuvuk Pass, AK	anaktuvuk pass-alaska	324
\N	Anch, AK	anch-alaska	6174
\N	Anchor Point, AK	anchor point-alaska	2510
\N	Anchorage, AK	anchorage-alaska	256280
\N	Anderson, AK	anderson-alaska	226
\N	Angoon, AK	angoon-alaska	479
\N	Aniak, AK	aniak-alaska	726
\N	Anvik, AK	anvik-alaska	85
\N	Arctic Village, AK	arctic village-alaska	152
\N	Arctic Vlg, AK	arctic vlg-alaska	152
\N	Atka, AK	atka-alaska	61
\N	Atmautluak, AK	atmautluak-alaska	7632
\N	Atqasuk, AK	atqasuk-alaska	237
\N	Auke Bay, AK	auke bay-alaska	0
\N	Badger, AK	badger-alaska	0
\N	Barrow, AK	barrow-alaska	5041
\N	Beaver, AK	beaver-alaska	84
\N	Bethel, AK	bethel-alaska	9283
\N	Bettles, AK	bettles-alaska	30
\N	Bettles Field, AK	bettles field-alaska	30
\N	Big Lake, AK	big lake-alaska	3703
\N	Brevig Mission, AK	brevig mission-alaska	388
\N	Brevig Msn, AK	brevig msn-alaska	388
\N	Buckland, AK	buckland-alaska	416
\N	Cantwell, AK	cantwell-alaska	231
\N	Central, AK	central-alaska	144
\N	Chalkyitsik, AK	chalkyitsik-alaska	69
\N	Chefornak, AK	chefornak-alaska	418
\N	Chenega Bay, AK	chenega bay-alaska	2348
\N	Chevak, AK	chevak-alaska	938
\N	Chickaloon, AK	chickaloon-alaska	1444
\N	Chicken, AK	chicken-alaska	10
\N	Chignik, AK	chignik-alaska	164
\N	Chignik Lagn, AK	chignik lagn-alaska	78
\N	Chignik Lagoon, AK	chignik lagoon-alaska	78
\N	Chignik Lake, AK	chignik lake-alaska	73
\N	Chiniak, AK	chiniak-alaska	12899
\N	Chitina, AK	chitina-alaska	192
\N	Chuathbaluk, AK	chuathbaluk-alaska	726
\N	Chugiak, AK	chugiak-alaska	9211
\N	Circle, AK	circle-alaska	104
\N	Clam Gulch, AK	clam gulch-alaska	279
\N	Clarks Point, AK	clarks point-alaska	64
\N	Clear, AK	clear-alaska	24
\N	Coffman Cove, AK	coffman cove-alaska	231
\N	Cold Bay, AK	cold bay-alaska	160
\N	Coldfoot, AK	coldfoot-alaska	19019
\N	Cooper Landing, AK	cooper landing-alaska	296
\N	Cooper Lndg, AK	cooper lndg-alaska	296
\N	Copper Center, AK	copper center-alaska	1115
